model,num_param,memT,memR,memA,efficient,type,cnn,M_n,top1,top5,pepr_m
hardcorenas_a,5260232,25.435111424,2.350907392,0.0822272,1,Other,False,0.0359740906826108,75.926,92.486,0.7328947768372452
fbnetv3_b,8598464,25.435111424,4.034920448,0.149295616,1,CNN,True,0.1159940209267563,79.154,94.732,0.7092690329493705
dla46_c,1301400,25.435111424,2.533359616,0.017119232,0,CNN,True,0.0446437468858993,64.88,86.33,0.621072975293332
dm_nfnet_f0,71489284,25.435111424,7.226785792,1.167955968,0,CNN,True,0.2676631788739412,83.47,96.568,0.6584556638629039
mobilevitv2_050,1370593,25.435111424,3.097493504,0.035255808,1,Other,False,0.0714499252615844,70.158,89.936,0.6547949497767858
semnasnet_075,2912278,25.435111424,2.797600768,0.043697664,1,Other,False,0.0571998006975585,73.008,91.126,0.6905790178150627
spnasnet_100,4421616,25.435111424,2.531262464,0.068013056,1,Other,False,0.0445440956651718,74.082,91.828,0.7092280767029193
sequencer2d_l,54298216,25.435111424,14.277410816,0.945582592,0,Other,False,0.6026905829596412,83.41,96.504,0.5204373251259093
resnet18d,11708744,25.435111424,1.728053248,0.199392256,0,CNN,True,0.006377678126557,73.794,91.834,0.7332634815328251
vgg11,132863336,25.435111424,6.3438848,2.105291776,0,CNN,True,0.225710014947683,70.384,89.808,0.5742304390243903
twins_pcpvt_base,43828456,25.435111424,8.361345024,0.776287232,0,Other,False,0.3215744892874937,82.722,96.348,0.6259352058513045
swinv2_base_window8_256,87918816,25.435111424,14.168358912,1.448608768,0,Other,False,0.5975087194818136,84.246,96.902,0.5273586239161624
dpn107,86917800,25.435111424,16.571695104,1.399316992,0,CNN,True,0.7117090184354757,80.168,94.936,0.46835063165861335
convnext_tiny_hnf,28589128,25.435111424,5.51550976,0.496233472,0,CNN,True,0.1863477827603387,82.608,96.024,0.6963219487610248
dpn98,61570728,25.435111424,12.127830016,0.9885952,0,CNN,True,0.5005480817140009,79.656,94.642,0.5308460353300571
dla46x_c,1068440,25.435111424,3.001024512,0.038321152,0,CNN,True,0.0668659691081215,66.008,86.946,0.6187093966000374
gluon_resnet152_v1b,60192808,25.435111424,8.793358336,0.985241088,0,CNN,True,0.3421026407573492,0.0,0.0,0.0
vgg13,133047848,25.435111424,7.941914624,2.108507136,0,CNN,True,0.3016442451420029,71.556,90.372,0.5497354616444649
maxxvit_rmlp_nano_rw_256,16779628,25.435111424,6.67942912,0.306484224,0,Other,False,0.2416542102640757,83.026,96.344,0.6686724799357945
sebotnet33ts_256,13701984,25.435111424,6.786383872,0.24574464,0,Other,False,0.2467364225211758,81.152,95.16,0.6509154504036448
res2net101_26w_4s,45206688,25.435111424,8.130658304,0.749280256,0,CNN,True,0.3106128550074738,79.186,94.464,0.6041906250000001
dla169,53389720,25.435111424,10.13972992,0.875867136,0,CNN,True,0.4060787244643746,78.706,94.338,0.5597552870304748
dpn131,79254504,25.435111424,16.313745408,1.272774144,0,CNN,True,0.6994519182859988,79.834,94.708,0.469763216840624
ecaresnetlight,30162046,25.435111424,4.179623936,0.495186432,0,Other,False,0.1228699551569506,81.416,95.794,0.725070607028754
dpn92,37668392,25.435111424,8.438939648,0.60009984,0,CNN,True,0.3252615844544095,80.028,94.878,0.6038656891495602
gluon_resnet34_v1b,21797672,25.435111424,2.292187136,0.389481472,0,CNN,True,0.0331838565022421,0.0,0.0,0.0
dla60x,17352344,25.435111424,6.824132608,0.290201088,0,CNN,True,0.24853014449427,78.23,94.02,0.6265767818660707
convnext_atto,3695520,25.435111424,1.59383552,0.09845248,0,CNN,True,0.0,77.22,93.7,0.7722
halo2botnet50ts_256,22635360,25.435111424,7.279214592,0.377660928,0,Other,False,0.2701544593921275,82.084,95.658,0.6462521104660286
res2next50,24671464,25.435111424,6.043992064,0.40476928,0,CNN,True,0.2114598903836572,78.236,93.904,0.6457993419429137
pvt_v2_b0,3666760,25.435111424,3.883925504,0.096902144,1,Other,False,0.1088191330343796,70.656,90.212,0.6372184416284714
dla102,33268888,25.435111424,7.153385472,0.549003776,0,CNN,True,0.2641753861484803,79.448,94.654,0.6284571023175153
maxvit_nano_rw_256,15451148,25.435111424,9.313452032,0.28503552,0,Other,False,0.3668161434977578,82.942,96.224,0.6068263123359581
selecsls60,30670768,25.435111424,2.982150144,0.521860096,0,CNN,True,0.0659691081215744,78.41,94.166,0.7355747873235488
halonet50ts,22733280,25.435111424,7.254048768,0.379397632,0,Other,False,0.268958644743398,81.65,95.614,0.6434409847651956
crossvit_9_240,8553296,25.435111424,2.344615936,0.172932096,1,Other,False,0.0356751370204284,73.976,91.976,0.7142780332916386
repvgg_a2,28210600,25.435111424,2.413821952,0.480677376,1,CNN,True,0.0389636273044344,76.492,93.016,0.7362336658354115
resnetblur50,25557032,25.435111424,5.458886656,0.423719424,0,CNN,True,0.1836571998006975,80.248,95.2,0.6779665600269407
selecsls60b,32774064,25.435111424,3.126853632,0.559498752,0,CNN,True,0.0728450423517688,78.41,94.166,0.7308604402749397
dpn68,12611602,25.435111424,4.496293888,0.22129664,0,CNN,True,0.1379172894867962,79.344,94.426,0.6972738768718801
halonet26t,12480288,25.435111424,3.745513472,0.20950784,0,Other,False,0.1022421524663677,79.134,94.34,0.7179366151342556
dla102x2,41282200,25.435111424,13.849591808,0.678949376,0,CNN,True,0.5823617339312406,79.448,94.654,0.502084942376724
dla60,22036632,25.435111424,5.3477376,0.366935552,0,CNN,True,0.1783756851021425,78.488,94.144,0.6660694122621564
darknetaa53,36022984,25.435111424,5.637144576,0.607592448,0,CNN,True,0.1921275535625311,80.528,95.328,0.6754981860737275
dla34,15742104,25.435111424,2.95698432,0.275754496,0,CNN,True,0.064773293472845,74.632,92.052,0.7009191576977073
sehalonet33ts,13691712,25.435111424,5.637144576,0.243127296,0,Other,False,0.1921275535625311,80.972,95.272,0.6792226197442114
densenet201,20013928,25.435111424,9.432989696,0.333123072,0,CNN,True,0.3724962630792227,77.284,93.48,0.563090786321063
gluon_inception_v3,23834568,25.435111424,3.015704576,0.39816192,0,CNN,True,0.0675635276532137,0.0,0.0,0.0
xception41p,26907752,25.435111424,6.94157312,0.443983872,0,CNN,True,0.2541106128550074,81.98,95.788,0.653690345649583
densenet169,14149480,25.435111424,7.537164288,0.243029504,0,CNN,True,0.2824115595416043,75.922,92.976,0.5920252311756935
res2net50_14w_8s,25059816,25.435111424,5.985271808,0.415425024,0,CNN,True,0.2086696562032884,78.146,93.85,0.6465455602275539
selecsls42b,32458248,25.435111424,2.71581184,0.550672384,0,CNN,True,0.0533134030891878,77.186,93.392,0.7327923462630087
cs3se_edgenet_x,50721584,25.435111424,6.922698752,0.845698048,1,Other,False,0.2532137518684603,83.544,96.664,0.666638072519084
densenet161,28681000,25.435111424,11.62870784,0.476564992,0,CNN,True,0.4768310911808669,77.35,93.654,0.5237565789473685
legacy_seresnet50,28088024,25.435111424,5.532286976,0.463534592,0,CNN,True,0.1871449925261584,77.644,93.72,0.6540397381012341
gluon_resnext101_32x4d,44177704,25.435111424,8.055160832,0.725233664,0,CNN,True,0.3070254110612855,0.0,0.0,0.0
adv_inception_v3,23834568,25.435111424,3.015704576,0.39816192,0,CNN,True,0.0675635276532137,0.0,0.0,0.0
cs3edgenet_x,47821120,25.435111424,6.276775936,0.799142912,1,Other,False,0.2225211758844045,82.746,96.39,0.6768471715030975
densenet121,7978856,25.435111424,6.25999872,0.154098176,0,CNN,True,0.2217239661185849,76.48,93.374,0.6260006525285482
resnet14t,10081632,25.435111424,2.512388096,0.173164032,0,CNN,True,0.0436472346786248,72.242,90.318,0.6922070753365799
cspresnet50,21616168,25.435111424,4.385144832,0.376710656,1,Other,False,0.1326357747882411,79.588,94.69,0.7026795530529649
hrnet_w18,21299004,25.435111424,6.49068544,0.354016768,0,CNN,True,0.2326856003986048,82.048,96.244,0.6656036216653193
cs3darknet_focus_l,21151720,25.435111424,3.812622336,0.371070464,0,CNN,True,0.1054309915296462,80.91,95.678,0.73193171369332
resnet200d,64693064,25.435111424,12.285116416,1.06209536,0,CNN,True,0.5080219232685599,83.976,96.82,0.5568619308795348
seresnext101d_32x8d,93588280,25.435111424,14.42840576,1.537078272,0,Other,False,0.6098654708520178,84.402,96.922,0.5242798328690808
resnetrs152,86621576,25.435111424,11.700011008,1.410213888,0,CNN,True,0.4802192326856003,83.71,96.61,0.5655243368789552
resnetaa50,25557032,25.435111424,4.777312256,0.4232832,0,CNN,True,0.151270553064275,82.644,96.49,0.7178503765255778
gcresnet33ts,19880698,25.435111424,5.165285376,0.349002752,0,Other,False,0.169706028898854,80.588,95.322,0.6889594309081614
gernet_l,31078280,25.435111424,2.701131776,0.509598208,1,CNN,True,0.0526158445440956,81.374,95.552,0.7730645555239988
resnetrs50,35691912,25.435111424,5.863636992,0.585980928,0,CNN,True,0.2028898854010961,79.916,94.974,0.6643667136111342
gluon_seresnext101_32x4d,48955416,25.435111424,9.592373248,0.797779968,0,CNN,True,0.3800697558545091,0.0,0.0,0.0
poolformer_m36,56172520,25.435111424,11.549016064,0.969255936,0,Other,False,0.4730443447932236,82.104,95.698,0.5573762954945204
legacy_senet154,115088984,25.435111424,18.15085056,1.861254656,0,CNN,True,0.7867463876432486,81.326,95.496,0.455162526491913
gcresnext26ts,10476600,25.435111424,4.716494848,0.177501696,0,Other,False,0.1483806676631788,78.438,94.034,0.6830313519611246
lambda_resnet26rpt_256,10988688,25.435111424,6.757023744,0.188609024,0,Other,False,0.2453413054309914,78.954,94.422,0.6339948707689845
cs3sedarknet_l,21913592,25.435111424,4.710203392,0.382505984,1,Other,False,0.1480817140009965,81.766,95.966,0.7121966929953998
mobilenetv2_050,1968680,25.435111424,2.227175424,0.053615616,1,CNN,True,0.030094668659691,65.93,86.102,0.6400382606172005
ecaresnet101d,44568563,25.435111424,8.162115584,0.736427008,1,Other,False,0.3121076233183856,82.998,96.524,0.6325548188653453
gluon_seresnext50_32x4d,27559896,25.435111424,6.601834496,0.4551296,0,CNN,True,0.2379671150971599,0.0,0.0,0.0
xception71,42338736,25.435111424,15.139340288,0.69201408,0,CNN,True,0.6436472346786247,79.908,94.91,0.48616271371407793
resnetv2_50,25549352,25.435111424,4.198498304,0.40661248,0,CNN,True,0.1237668161434977,83.992,97.132,0.7474148443735036
gcresnet50t,25897080,25.435111424,4.86539264,0.428586496,0,Other,False,0.155455904334828,81.458,95.722,0.7049857956015524
dla102x,26309272,25.435111424,9.065988096,0.438002176,0,CNN,True,0.3550572994519182,79.448,94.654,0.5863073098985144
seresnet33ts,19779200,25.435111424,5.1380224,0.347655168,0,Other,False,0.168410563029397,80.814,95.346,0.6916575607675907
gluon_xception65,39916312,25.435111424,11.400118272,0.653080576,0,CNN,True,0.4659691081215744,0.0,0.0,0.0
resnet26d,16014408,25.435111424,3.374317568,0.268406272,0,CNN,True,0.0846038863976083,77.424,93.63,0.7138458654906286
regnetv_040,20640640,25.435111424,7.2351744,0.369963008,0,CNN,True,0.2680617837568509,83.2,96.658,0.6561194499017683
convmixer_768_32,21110248,25.435111424,17.53219072,0.368451072,0,CNN,True,0.7573492775286496,80.158,95.07,0.4561301559398923
seresnextaa101d_32x8d,93588280,25.435111424,15.126757376,1.535505408,0,Other,False,0.64304932735426,86.722,98.182,0.5278112991266375
resnet32ts,17963616,25.435111424,4.90733568,0.31247616,0,CNN,True,0.1574489287493771,79.388,94.676,0.6858877141627208
resnetrs270,129861448,25.435111424,20.963131392,2.113232896,0,CNN,True,0.9203786746387644,84.44,96.974,0.43970494525452747
mnasnet_100,4383312,25.435111424,2.342518784,0.094257152,1,Other,False,0.035575485799701,75.464,92.612,0.7287155889145497
mobilevit_s,5578632,25.435111424,6.744440832,0.122594304,1,Other,False,0.2447433981066268,78.302,94.166,0.6290613801937396
nasnetalarge,88753150,25.435111424,21.130903552,1.418934272,0,Other,False,0.9283507722969604,82.636,96.06,0.42853199317864715
botnet26t_256,12488672,25.435111424,3.81681664,0.211342848,0,Other,False,0.1056302939711011,79.256,94.53,0.7168399819738621
efficientnetv2_rw_m,53236442,25.435111424,13.470007296,0.87757312,1,CNN,True,0.5643248629795714,84.824,97.15,0.5422403108676265
resnext50d_32x4d,25048136,25.435111424,6.094323712,0.415325696,0,CNN,True,0.213851519681116,80.68,95.428,0.6646611936622611
wide_resnet50_2,68883240,25.435111424,6.398410752,1.128606208,0,CNN,True,0.2283009466865969,82.266,96.062,0.6697544296608795
lamhalobotnet50ts_256,22569824,25.435111424,6.98351616,0.374550016,0,Other,False,0.2561036372695565,81.548,95.494,0.6492139468464896
eca_botnext26ts_256,10593301,25.435111424,4.815060992,0.179846656,0,Other,False,0.1530642750373692,79.272,94.594,0.6874898625875033
cspdarknet53,27642184,25.435111424,6.828326912,0.477188608,1,Other,False,0.2487294469357249,80.106,95.068,0.6415000478812546
seresnext26ts,10388064,25.435111424,4.829741056,0.17604352,0,Other,False,0.1537618335824613,78.292,94.076,0.6785802556572812
resnetrs101,63618696,25.435111424,8.531214336,1.03959808,0,CNN,True,0.3296462381664174,82.294,96.0,0.6189165030352995
ecaresnet50d,25576350,25.435111424,5.6623104,0.422583808,1,Other,False,0.1933233682112605,81.64,95.886,0.6841397912317329
gc_efficientnetv2_rw_t,13677713,25.435111424,6.088032256,0.245718528,1,Other,False,0.2135525660189337,82.48,96.3,0.6796574150106751
eca_resnet33ts,19676302,25.435111424,5.070913536,0.349088768,1,Other,False,0.1652217239661185,80.716,95.382,0.6927093645770975
xception41,26969560,25.435111424,8.873050112,0.44733696,0,CNN,True,0.3458893871449924,81.98,95.788,0.609113949355842
bat_resnext26ts,10731200,25.435111424,5.226102784,0.182175232,0,Other,False,0.1725959142999501,78.28,94.114,0.6675786521628284
ecaresnet269d,102093077,25.435111424,19.86002944,1.667828736,1,Other,False,0.8679621325361235,84.972,97.224,0.4548914483862363
resnet34d,21816904,25.435111424,2.315255808,0.392157184,0,CNN,True,0.0342800199302441,78.44,94.348,0.7584019655072745
resnet152d,60212040,25.435111424,8.935964672,0.98660608,0,CNN,True,0.3488789237668161,84.354,97.042,0.6253637632978722
densenetblur121d,7998088,25.435111424,6.83671552,0.154417152,0,CNN,True,0.2491280518186347,77.31,93.8,0.618911727163941
pnasnet5large,86057668,25.435111424,22.63875584,1.389981696,0,Other,False,1.0,82.828,96.038,0.41414
efficientnet_b0,5288548,25.435111424,4.527751168,0.108824064,1,CNN,True,0.139412057797708,79.37,94.752,0.696587327269547
fbnetc_100,5572200,25.435111424,3.070230528,0.100230656,1,CNN,True,0.0701544593921275,75.114,92.382,0.7018986777167334
seresnext26t_32x4d,16806976,25.435111424,4.75004928,0.279545344,0,Other,False,0.1499750871948181,78.738,94.316,0.6846930935875217
tinynet_a,6187972,25.435111424,4.81296384,0.122365952,1,CNN,True,0.1529646238166417,77.664,93.532,0.6736026274848746
xception65p,39819560,25.435111424,9.19601152,0.650507776,0,CNN,True,0.3612356751370204,83.164,96.5,0.6109449048316253
dpn68b,12611602,25.435111424,4.628414464,0.220248064,0,CNN,True,0.1441953163926257,79.344,94.426,0.6934480404110782
ghostnet_100,5182508,25.435111424,2.021654528,0.105186304,1,CNN,True,0.0203288490284005,74.2,91.55,0.7272165250512745
ecaresnet26t,16011916,25.435111424,3.854565376,0.268383744,1,Other,False,0.1074240159441953,79.9,95.07,0.7214941959866823
seresnext26d_32x4d,16809512,25.435111424,4.783603712,0.280632832,0,Other,False,0.1515695067264573,78.826,94.258,0.6845092679127726
ecaresnet50t,25573814,25.435111424,5.628755968,0.422544896,1,Other,False,0.1917289486796213,82.37,96.12,0.6911806589179698
resnet61q,36846968,25.435111424,7.574913024,0.612112896,0,CNN,True,0.2842052815146985,82.524,96.134,0.6426075424846744
cspresnext50,20569896,25.435111424,5.58891008,0.343492096,0,CNN,True,0.1898355754857996,80.552,95.33,0.6770011055276383
seresnet152d,66841080,25.435111424,11.312037888,1.0882688,0,Other,False,0.4617837568510213,84.354,97.042,0.5770620969391234
resnet51q,35696920,25.435111424,7.1827456,0.59245824,0,CNN,True,0.2655705032386646,82.356,96.178,0.650742094488189
ese_vovnet19b_dw,6543080,25.435111424,3.839885312,0.133867008,1,CNN,True,0.1067264573991031,77.798,93.778,0.702955996758509
resnetrs200,93209992,25.435111424,16.16904192,1.519683584,0,CNN,True,0.6925759840558047,84.446,97.072,0.4989199941124522
gcresnext50ts,15667320,25.435111424,6.828326912,0.260716032,0,Other,False,0.2487294469357249,81.234,95.536,0.6505332295906153
edgenext_base,18511292,25.435111424,4.78150656,0.336878592,1,Other,False,0.1514698555057299,84.076,97.208,0.7301624058848983
